"title","rating","director","summary"
"Karwaan (2018)","7.5","Akarsh Khurana","Two friends and a chirpy teenager take a road trip from Bangalore to Kochi."
"Panchayat","9.0","Jitendra KumarRaghuvir YadavChandan RoySee full cast & crew","Panchayat is a comedy-drama, which captures the journey of an engineering graduate Abhishek, who for lack of a better job option joins as secretary of a Panchayat office in a remote village of Uttar Pradesh."
